Id,Activity Date,Total Steps,Total Dis.,Tracker Dis.,Logged Activities Dis.,Very Active Dis.,Moderately Active Dis.,Lightly Active Dis.,Sedentary Active Dis.,Very Active Min.,Moderately Active Min.,Lightly Active Min.,Sedentary Min.,Calories,,,,
1503960366,4/12/2016,13162,8.5 miles,8.5 miles,. miles,1.88 miles,6.06 miles,.55 miles,. miles,0:25,5:28,0:13,12:08,1985,,,,
1503960366,4/13/2016,10735,6.97 miles,6.97 miles,. miles,1.57 miles,4.71 miles,.69 miles,. miles,0:21,3:37,0:19,12:56,1797,,,,
1503960366,4/14/2016,10460,6.74 miles,6.74 miles,. miles,2.44 miles,3.91 miles,.4 miles,. miles,0:30,3:01,0:11,20:18,1776,,,,
1503960366,4/15/2016,9762,6.28 miles,6.28 miles,. miles,2.14 miles,2.83 miles,1.26 miles,. miles,0:29,3:29,0:34,12:06,1745,,,,
1503960366,4/16/2016,12669,8.16 miles,8.16 miles,. miles,2.71 miles,5.04 miles,.41 miles,. miles,0:36,3:41,0:10,12:53,1863,,,,
1503960366,4/17/2016,9705,6.48 miles,6.48 miles,. miles,3.19 miles,2.51 miles,.78 miles,. miles,0:38,2:44,0:20,8:59,1728,,,,
1503960366,4/18/2016,13019,8.59 miles,8.59 miles,. miles,3.25 miles,4.71 miles,.64 miles,. miles,0:42,3:53,0:16,19:09,1921,,,,
1503960366,4/19/2016,15506,9.88 miles,9.88 miles,. miles,3.53 miles,5.03 miles,1.32 miles,. miles,0:50,4:24,0:31,12:55,2035,,,,
1503960366,4/20/2016,10544,6.68 miles,6.68 miles,. miles,1.96 miles,4.24 miles,.48 miles,. miles,0:28,3:25,0:12,13:38,1786,,,,
1503960366,4/21/2016,9819,6.34 miles,6.34 miles,. miles,1.34 miles,4.65 miles,.35 miles,. miles,0:19,3:31,0:08,13:58,1775,,,,
1503960366,4/22/2016,12764,8.13 miles,8.13 miles,. miles,4.76 miles,2.24 miles,1.12 miles,. miles,1:06,2:10,0:27,20:17,1827,,,,
1503960366,4/23/2016,14371,9.04 miles,9.04 miles,. miles,2.81 miles,5.36 miles,.87 miles,. miles,0:41,4:22,0:21,12:12,1949,,,,
1503960366,4/24/2016,10039,6.41 miles,6.41 miles,. miles,2.92 miles,3.28 miles,.21 miles,. miles,0:39,3:58,0:05,11:49,1788,,,,
1503960366,4/25/2016,15355,9.8 miles,9.8 miles,. miles,5.29 miles,3.94 miles,.57 miles,. miles,1:13,3:36,0:14,13:34,2013,,,,
1503960366,4/26/2016,13755,8.79 miles,8.79 miles,. miles,2.33 miles,5.54 miles,.92 miles,. miles,0:31,4:39,0:23,13:53,1970,,,,
1503960366,4/27/2016,18134,12.21 miles,12.21 miles,. miles,6.4 miles,5.41 miles,.41 miles,. miles,1:18,4:03,0:11,18:28,2159,,,,
1503960366,4/28/2016,13154,8.53 miles,8.53 miles,. miles,3.54 miles,3.79 miles,1.16 miles,. miles,0:48,3:09,0:28,13:02,1898,,,,
1503960366,4/29/2016,11181,7.15 miles,7.15 miles,. miles,1.06 miles,5.58 miles,.5 miles,. miles,0:16,4:03,0:12,13:35,1837,,,,
1503960366,4/30/2016,14673,9.25 miles,9.25 miles,. miles,3.56 miles,4.27 miles,1.42 miles,. miles,0:52,3:37,0:34,11:52,1947,,,,
1503960366,5/1/2016,10602,6.81 miles,6.81 miles,. miles,2.29 miles,2.92 miles,1.6 miles,. miles,0:33,4:06,0:35,12:10,1820,,,,
1503960366,5/2/2016,14727,9.71 miles,9.71 miles,. miles,3.21 miles,5.92 miles,.57 miles,. miles,0:41,4:37,0:15,13:18,2004,,,,
1503960366,5/3/2016,15103,9.66 miles,9.66 miles,. miles,3.73 miles,4.88 miles,1.05 miles,. miles,0:50,4:14,0:24,13:36,1990,,,,
1503960366,5/4/2016,11100,7.15 miles,7.15 miles,. miles,2.46 miles,3.82 miles,.87 miles,. miles,0:36,3:23,0:22,19:39,1819,,,,
1503960366,5/5/2016,14070,8.9 miles,8.9 miles,. miles,2.92 miles,4.88 miles,1.08 miles,. miles,0:45,4:10,0:24,14:17,1959,,,,
1503960366,5/6/2016,12159,8.03 miles,8.03 miles,. miles,1.97 miles,5.81 miles,.25 miles,. miles,0:24,4:49,0:06,12:34,1896,,,,
1503960366,5/7/2016,11992,7.71 miles,7.71 miles,. miles,2.46 miles,3.13 miles,2.12 miles,. miles,0:37,2:55,0:46,13:53,1821,,,,
1503960366,5/8/2016,10060,6.58 miles,6.58 miles,. miles,3.53 miles,2.73 miles,.32 miles,. miles,0:44,3:23,0:08,9:34,1740,,,,
1503960366,5/9/2016,12022,7.72 miles,7.72 miles,. miles,3.45 miles,3.74 miles,.53 miles,. miles,0:46,3:26,0:11,13:55,1819,,,,
1503960366,5/10/2016,12207,7.77 miles,7.77 miles,. miles,3.35 miles,3.26 miles,1.16 miles,. miles,0:46,3:34,0:31,12:26,1859,,,,
1503960366,5/11/2016,12770,8.13 miles,8.13 miles,. miles,2.56 miles,4.55 miles,1.01 miles,. miles,0:36,4:11,0:23,11:09,1783,,,,
1503960366,5/12/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,0,,,,
1624580081,4/12/2016,8163,5.31 miles,5.31 miles,. miles,. miles,5.31 miles,. miles,. miles,0:00,2:26,0:00,21:34,1432,,,,
1624580081,4/13/2016,7007,4.55 miles,4.55 miles,. miles,. miles,4.55 miles,. miles,. miles,0:00,2:28,0:00,21:32,1411,,,,
1624580081,4/14/2016,9107,5.92 miles,5.92 miles,. miles,. miles,5.91 miles,. miles,.01 miles,0:00,3:56,0:00,20:04,1572,,,,
1624580081,4/15/2016,1510,.98 miles,.98 miles,. miles,. miles,.97 miles,. miles,. miles,0:00,1:36,0:00,22:24,1344,,,,
1624580081,4/16/2016,5370,3.49 miles,3.49 miles,. miles,. miles,3.49 miles,. miles,. miles,0:00,2:56,0:00,21:04,1463,,,,
1624580081,4/17/2016,6175,4.06 miles,4.06 miles,. miles,1.03 miles,1.49 miles,1.52 miles,.01 miles,0:15,2:07,0:22,21:16,1554,,,,
1624580081,4/18/2016,10536,7.41 miles,7.41 miles,. miles,2.15 miles,4.62 miles,.62 miles,.01 miles,0:17,3:22,0:07,20:14,1604,,,,
1624580081,4/19/2016,2916,1.9 miles,1.9 miles,. miles,. miles,1.9 miles,. miles,. miles,0:00,2:21,0:00,21:39,1435,,,,
1624580081,4/20/2016,4974,3.23 miles,3.23 miles,. miles,. miles,3.23 miles,. miles,. miles,0:00,2:31,0:00,21:29,1446,,,,
